1: P1_INFO:position((-2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)
2: P1_INFO:position((-1.96, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((2.00, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)
3: P1_INFO:position((-1.91, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.90, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
4: P1_INFO:position((-1.87, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.80, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
5: P1_INFO:position((-1.82, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.70, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
6: P1_INFO:position((-1.78, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.56, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
7: P1_INFO:position((-1.74, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.42, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
8: P1_INFO:position((-1.69, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.28, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
9: P1_INFO:position((-1.65, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.14, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
10: P1_INFO:position((-1.60, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((1.00, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
11: P1_INFO:position((-1.56, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:1)isInHitStun(False)P2_INFO:position((0.86, 0.00))velocity(7)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
12: P1_INFO:position((-1.56, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((0.76, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
13: P1_INFO:position((-1.56, 0.00))velocity(0)dead(False)vitalHealth(1)guardHealth(3)currentAction:0)isInHitStun(False)P2_INFO:position((0.66, 0.00))velocity(5)dead(False)vitalHealth(1)guardHealth(3)currentAction:10)isInHitStun(False)
