1: P1_INFO:position((-2.00, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
2: P1_INFO:position((-1.96, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
3: P1_INFO:position((-1.91, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
4: P1_INFO:position((-1.87, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
5: P1_INFO:position((-1.82, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
6: P1_INFO:position((-1.78, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
7: P1_INFO:position((-1.78, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
8: P1_INFO:position((-1.78, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
9: P1_INFO:position((-1.78, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
10: P1_INFO:position((-1.78, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
11: P1_INFO:position((-1.68, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
12: P1_INFO:position((-1.58, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
13: P1_INFO:position((-1.48, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
14: P1_INFO:position((-1.34, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
15: P1_INFO:position((-1.20, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
16: P1_INFO:position((-1.06, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
17: P1_INFO:position((-0.92, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
18: P1_INFO:position((-0.78, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
19: P1_INFO:position((-0.64, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
20: P1_INFO:position((-0.54, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
21: P1_INFO:position((-0.44, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
22: P1_INFO:position((-0.34, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
23: P1_INFO:position((-0.30, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
24: P1_INFO:position((-0.26, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
25: P1_INFO:position((-0.24, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
26: P1_INFO:position((-0.24, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
27: P1_INFO:position((-0.20, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
28: P1_INFO:position((-0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:1)isInHitStun(False)
29: P1_INFO:position((-0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
30: P1_INFO:position((-0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
31: P1_INFO:position((-0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
32: P1_INFO:position((-0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:0)isInHitStun(False)
33: P1_INFO:position((-0.05, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
34: P1_INFO:position((0.05, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
35: P1_INFO:position((0.15, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
36: P1_INFO:position((0.29, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
37: P1_INFO:position((0.43, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
38: P1_INFO:position((0.57, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
39: P1_INFO:position((0.71, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
40: P1_INFO:position((0.85, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
41: P1_INFO:position((0.99, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
42: P1_INFO:position((1.09, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
43: P1_INFO:position((1.19, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
44: P1_INFO:position((1.29, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
45: P1_INFO:position((1.33, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
46: P1_INFO:position((1.37, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
47: P1_INFO:position((1.39, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
48: P1_INFO:position((1.39, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
49: P1_INFO:position((1.49, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
50: P1_INFO:position((1.59, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
51: P1_INFO:position((1.69, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
52: P1_INFO:position((1.83, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
53: P1_INFO:position((1.97, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
54: P1_INFO:position((2.11, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
55: P1_INFO:position((2.25, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
56: P1_INFO:position((2.39, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
57: P1_INFO:position((2.53, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
58: P1_INFO:position((2.63, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
59: P1_INFO:position((2.71, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
60: P1_INFO:position((2.78, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
61: P1_INFO:position((2.81, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
62: P1_INFO:position((2.85, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
63: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
64: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:10)isInHitStun(False)
65: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
66: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
67: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
68: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
69: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
70: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
71: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
72: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
73: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
74: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
75: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
76: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
77: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
78: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(True)
79: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
80: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
81: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
82: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
83: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
84: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
85: P1_INFO:position((2.87, 0.00))guardBroken(False)guardHealth(3)currentAction:105)isInHitStun(False)
