1: P1_INFO:position((-1.96, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
2: P1_INFO:position((-1.91, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
3: P1_INFO:position((-1.87, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
4: P1_INFO:position((-1.82, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
5: P1_INFO:position((-1.78, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
6: P1_INFO:position((-1.74, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
7: P1_INFO:position((-1.69, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
8: P1_INFO:position((-1.65, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
9: P1_INFO:position((-1.60, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
10: P1_INFO:position((-1.56, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
11: P1_INFO:position((-1.52, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
12: P1_INFO:position((-1.47, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
13: P1_INFO:position((-1.43, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
14: P1_INFO:position((-1.38, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
15: P1_INFO:position((-1.34, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
16: P1_INFO:position((-1.30, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
17: P1_INFO:position((-1.25, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
18: P1_INFO:position((-1.21, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
19: P1_INFO:position((-1.16, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
20: P1_INFO:position((-1.12, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
21: P1_INFO:position((-1.08, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
22: P1_INFO:position((-1.03, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
23: P1_INFO:position((-0.99, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
24: P1_INFO:position((-0.94, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
25: P1_INFO:position((-0.90, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
26: P1_INFO:position((-0.86, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
27: P1_INFO:position((-0.81, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
28: P1_INFO:position((-0.77, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
29: P1_INFO:position((-0.72, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
30: P1_INFO:position((-0.68, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
31: P1_INFO:position((-0.64, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
32: P1_INFO:position((-0.59, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
33: P1_INFO:position((-0.55, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
34: P1_INFO:position((-0.50, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
35: P1_INFO:position((-0.46, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
36: P1_INFO:position((-0.42, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
37: P1_INFO:position((-0.37, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
38: P1_INFO:position((-0.33, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
39: P1_INFO:position((-0.28, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
40: P1_INFO:position((-0.24, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
41: P1_INFO:position((-0.20, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
42: P1_INFO:position((-0.15, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
43: P1_INFO:position((-0.11, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
44: P1_INFO:position((-0.06, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
45: P1_INFO:position((-0.02, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
46: P1_INFO:position((0.02, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
47: P1_INFO:position((0.07, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
48: P1_INFO:position((0.11, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
49: P1_INFO:position((0.16, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
50: P1_INFO:position((0.20, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
51: P1_INFO:position((0.24, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
52: P1_INFO:position((0.29, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
53: P1_INFO:position((0.33, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
54: P1_INFO:position((0.38, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
55: P1_INFO:position((0.42, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
56: P1_INFO:position((0.46, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
57: P1_INFO:position((0.51, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
58: P1_INFO:position((0.55, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
59: P1_INFO:position((0.60, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
60: P1_INFO:position((0.62, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
61: P1_INFO:position((0.64, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
62: P1_INFO:position((0.66, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
63: P1_INFO:position((0.69, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
64: P1_INFO:position((0.71, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
65: P1_INFO:position((0.73, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
66: P1_INFO:position((0.75, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
67: P1_INFO:position((0.77, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
68: P1_INFO:position((0.80, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
69: P1_INFO:position((0.82, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
70: P1_INFO:position((0.84, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
71: P1_INFO:position((0.86, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
72: P1_INFO:position((0.88, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
73: P1_INFO:position((0.91, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
74: P1_INFO:position((0.93, 0.00))guardHealth(3)currentAction:1)isInHitStun(False)
75: P1_INFO:position((0.93, 0.00))guardHealth(3)currentAction:0)isInHitStun(False)
76: P1_INFO:position((0.89, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
77: P1_INFO:position((0.86, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
78: P1_INFO:position((0.82, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
79: P1_INFO:position((0.78, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
80: P1_INFO:position((0.75, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
81: P1_INFO:position((0.71, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
82: P1_INFO:position((0.68, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
83: P1_INFO:position((0.64, 0.00))guardHealth(3)currentAction:2)isInHitStun(False)
