1: P1_INFO:currentInput(Footsies.InputData)position(-1.90, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(0)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
2: P1_INFO:currentInput(Footsies.InputData)position(-1.80, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(1)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
3: P1_INFO:currentInput(Footsies.InputData)position(-1.70, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(2)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
4: P1_INFO:currentInput(Footsies.InputData)position(-1.56, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(3)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
5: P1_INFO:currentInput(Footsies.InputData)position(-1.42, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(4)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
6: P1_INFO:currentInput(Footsies.InputData)position(-1.28, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(5)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
7: P1_INFO:currentInput(Footsies.InputData)position(-1.14, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(6)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
8: P1_INFO:currentInput(Footsies.InputData)position(-1.00, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(7)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
9: P1_INFO:currentInput(Footsies.InputData)position(-0.86, 0.00)velocity_x(7)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(8)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
10: P1_INFO:currentInput(Footsies.InputData)position(-0.76, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(9)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
11: P1_INFO:currentInput(Footsies.InputData)position(-0.66, 0.00)velocity_x(5)isDead(False)vitalHealth(1)guardHealth(3)currentActionID(10)currentActionFrame(10)currentActionFrameCount(16)isAlwaysCancelable(False)currentActionHitCount(0)currentHitStunFrame(0)isInHitStun(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)isAlwaysCancelable(False)P2_INFO:position(2.00, 0.00)guardHealth(3)cancelable(True)dead(False)currentAction(0)isInHitStun(False)
